id,label,hemisphere,structure,AQP4
1,lateralorbitofrontal,R,cortex,0.4800841175154267
2,parsorbitalis,R,cortex,0.548202474317123
3,frontalpole,R,cortex,0.5331992178817239
4,medialorbitofrontal,R,cortex,0.5189927935675719
5,parstriangularis,R,cortex,0.5808632805799868
6,parsopercularis,R,cortex,0.6067262564043746
7,rostralmiddlefrontal,R,cortex,0.5381917082957632
8,superiorfrontal,R,cortex,0.4844197008557669
9,caudalmiddlefrontal,R,cortex,0.45534630217192107
10,precentral,R,cortex,0.4224572485732468
11,paracentral,R,cortex,0.3812283633118058
12,rostralanteriorcingulate,R,cortex,0.6304958648988256
13,caudalanteriorcingulate,R,cortex,0.68645248402939
14,posteriorcingulate,R,cortex,0.43575045603718116
15,isthmuscingulate,R,cortex,0.437152876958804
16,postcentral,R,cortex,0.36097864582211053
17,supramarginal,R,cortex,0.39531581159696144
18,superiorparietal,R,cortex,0.3106828916135455
19,inferiorparietal,R,cortex,0.347298000278436
20,precuneus,R,cortex,0.36406735112128663
21,cuneus,R,cortex,0.2719660545264693
22,pericalcarine,R,cortex,0.2266676859339255
23,lateraloccipital,R,cortex,0.2561347180948791
24,lingual,R,cortex,0.24570465662468835
25,fusiform,R,cortex,0.4389894763290862
26,parahippocampal,R,cortex,0.6331217620208021
27,entorhinal,R,cortex,0.6091729792798949
28,temporalpole,R,cortex,0.5381552540143327
29,inferiortemporal,R,cortex,0.5197854886871108
30,middletemporal,R,cortex,0.5752017427943793
31,bankssts,R,cortex,0.4882023472927983
32,superiortemporal,R,cortex,0.61165574561184
33,transversetemporal,R,cortex,0.5835406238509969
34,insula,R,cortex,0.6259114994167223
35,thalamusproper,R,subcortex,0.6755825430645079
36,caudate,R,subcortex,0.704623611570311
37,putamen,R,subcortex,0.7139270532321437
38,pallidum,R,subcortex,0.7981308707437501
39,accumbensarea,R,subcortex,0.7740352346026843
40,hippocampus,R,subcortex,0.6610173822913884
41,amygdala,R,subcortex,0.6852500142418744
42,lateralorbitofrontal,L,cortex,0.43852788564834305
43,parsorbitalis,L,cortex,0.47649901732853556
44,frontalpole,L,cortex,0.5014615208062018
45,medialorbitofrontal,L,cortex,0.49724526359093507
46,parstriangularis,L,cortex,0.3672956551896242
47,parsopercularis,L,cortex,0.3542166316275263
48,rostralmiddlefrontal,L,cortex,0.4411616373607981
49,superiorfrontal,L,cortex,0.463251674247275
50,caudalmiddlefrontal,L,cortex,0.401624587179306
51,precentral,L,cortex,0.36143364906069536
52,paracentral,L,cortex,0.37552281229936496
53,rostralanteriorcingulate,L,cortex,0.5758286622258124
54,caudalanteriorcingulate,L,cortex,0.6873003000466164
55,posteriorcingulate,L,cortex,0.4426858608788202
56,isthmuscingulate,L,cortex,0.35420581263078693
57,postcentral,L,cortex,0.31202446916189613
58,supramarginal,L,cortex,0.39183949568632964
59,superiorparietal,L,cortex,0.3741545056424794
60,inferiorparietal,L,cortex,0.3783609964745156
61,precuneus,L,cortex,0.3879078195691694
62,cuneus,L,cortex,0.27368300631233927
63,pericalcarine,L,cortex,0.20657863325000222
64,lateraloccipital,L,cortex,0.3122143499693999
65,lingual,L,cortex,0.23135444191810162
66,fusiform,L,cortex,0.46009633011161705
67,parahippocampal,L,cortex,0.5363604081859713
68,entorhinal,L,cortex,0.6941616798530279
69,temporalpole,L,cortex,0.6010824689093249
70,inferiortemporal,L,cortex,0.45236423269321047
71,middletemporal,L,cortex,0.42907347774101007
72,bankssts,L,cortex,0.3572724563958954
73,superiortemporal,L,cortex,0.4246772229224032
74,transversetemporal,L,cortex,0.3007722129791701
75,insula,L,cortex,0.4852727308543782
76,thalamusproper,L,subcortex,0.6735960104587299
77,caudate,L,subcortex,0.7310587649388314
78,putamen,L,subcortex,0.688186508601599
79,pallidum,L,subcortex,0.8101401175305988
80,accumbensarea,L,subcortex,0.8085928119597136
81,hippocampus,L,subcortex,0.5072794874956736
82,amygdala,L,subcortex,0.8522751880957854
83,brainstem,L,subcortex,0.5691869925035801
